URL,Label,Score
https://www.ibm.com/cloud/blog/network-slicing-at-the-edge,/technology and computing/networking/network monitoring and management,0.938113
https://www.ibm.com/cloud/blog/network-slicing-at-the-edge,/technology and computing/hardware,0.87144
https://www.ibm.com/cloud/blog/network-slicing-at-the-edge,/technology and computing/operating systems,0.871047
https://www.ibm.com/cloud/blog/data-at-the-edge,/technology and computing/software/databases,0.996904
https://www.ibm.com/cloud/blog/architectural-decisions-at-the-edge,/technology and computing/networking,0.941457
https://www.ibm.com/cloud/blog/architectural-decisions-at-the-edge,/technology and computing/networking/network monitoring and management,0.925949
https://www.ibm.com/cloud/blog/architectural-decisions-at-the-edge,/technology and computing/hardware/computer networking/wireless technology,0.910718
https://www.ibm.com/cloud/blog/gitops-at-the-edge,/technology and computing/operating systems,0.958558
https://www.ibm.com/cloud/blog/gitops-at-the-edge,/business and industrial/business software,0.92597
https://www.ibm.com/cloud/blog/gitops-at-the-edge,/technology and computing/software,0.925791
https://www.ibm.com/cloud/blog/cloud-services-at-the-edge,/technology and computing/operating systems,0.983652
https://www.ibm.com/cloud/blog/cloud-services-at-the-edge,/technology and computing/hardware,0.977516
https://www.ibm.com/cloud/blog/cloud-services-at-the-edge,/technology and computing/hardware/computer,0.90918
https://www.ibm.com/cloud/blog/how-to-integrate-ibm-cloud-code-engine-with-ibm-git,/technology and computing/operating systems,0.994639
https://www.ibm.com/cloud/blog/how-to-integrate-ibm-cloud-code-engine-with-ibm-git,/technology and computing/hardware/computer/servers,0.9319
https://www.ibm.com/cloud/blog/how-to-integrate-ibm-cloud-code-engine-with-ibm-git,/technology and computing/operating systems/unix,0.877455
https://www.ibm.com/cloud/blog/bandwidth-allocation-in-virtual-server-instances,/technology and computing/operating systems,0.923406
https://www.ibm.com/cloud/blog/bandwidth-allocation-in-virtual-server-instances,/technology and computing/hardware,0.830209
https://www.ibm.com/cloud/blog/bandwidth-allocation-in-virtual-server-instances,/technology and computing/hardware/computer components,0.785197
https://www.ibm.com/cloud/blog/using-instance-metadata-and-trusted-profiles-for-managing-ssh-keys,/technology and computing/operating systems,0.966603
https://www.ibm.com/cloud/blog/using-instance-metadata-and-trusted-profiles-for-managing-ssh-keys,/technology and computing/hardware/computer/servers,0.919846
https://www.ibm.com/cloud/blog/using-instance-metadata-and-trusted-profiles-for-managing-ssh-keys,/technology and computing/internet technology/email,0.817078
https://www.ibm.com/cloud/blog/bpmn,/business and industrial/business operations/management/business process,0.84936
https://www.ibm.com/cloud/blog/bpmn,/business and industrial/business software,0.716997
https://www.ibm.com/cloud/blog/bpmn,/technology and computing/software,0.630989
https://www.ibm.com/cloud/blog/truck-tracker-an-iot-pattern-using-ibm-cloud-services,/technology and computing/operating systems,0.910148
https://www.ibm.com/cloud/blog/truck-tracker-an-iot-pattern-using-ibm-cloud-services,/technology and computing/software/databases,0.869127
https://www.ibm.com/cloud/blog/truck-tracker-an-iot-pattern-using-ibm-cloud-services,/technology and computing/hardware/computer/servers,0.801867
https://www.ibm.com/cloud/blog/optical-character-recognition,/technology and computing/hardware/computer,0.978824
https://www.ibm.com/cloud/blog/optical-character-recognition,/technology and computing/software,0.931648
https://www.ibm.com/cloud/blog/optical-character-recognition,/technology and computing/hardware/computer components,0.915361
